approval_id	approval_type	task_key	subject_ids	decision_prompt	codex_recommendation	status	decision	owner	decided_by	decided_at	rationale	evidence_ref	evidence_required	blocked_action
G_DATA_RIGHTS	DATA_RIGHTS	GLOBAL	DATA_RIGHTS_STATUS	Are local experimental use and the intended derivative release both permitted?	Obtain explicit rights evidence; do not infer data rights from the software MIT file.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Rights-holder or authoritative terms covering planned use and redistribution	Reference workflows, variants, runs, and release
F_REQUIREMENTS	REQUIREMENT_INTERPRETATION	NL2Op/T0114_filter_muti	F_C1_CUSTOMER_WHITELIST|F_C2_CATEGORY_ALLOWLIST|F_C3_CHANNEL_THRESHOLD|F_C4_ALL_PREDICATES|F_C5_MASTER_SCHEMA|F_C6_RETAINED_VALUES	Do the six paraphrased atoms faithfully represent the bilingual source task, including the inferred retained-value clause?	Approve only after resolving retained-value semantics plus duplicate and missing rule-key behavior.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Clause-by-clause bilingual review record	Gold contract finalization
F_ORACLES	PROPERTY_ORACLE	NL2Op/T0114_filter_muti	F_O1_COMPOSITE_ROWS|F_O2_SCHEMA	Do the composite-row and schema oracles test the source task without reference output?	Retain both oracles and fail or abstain on ambiguous rule keys.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Independent replay on reviewed boundary cases	Oracle implementation
F_CHECKPOINTS	CHECKPOINT_BOUNDARIES	NL2Op/T0114_filter_muti	F_K1_RULE_LOOKUPS|F_K2_PREDICATE_VECTOR|F_K3_OUTPUT_COMMIT	Are lookup, predicate-vector, and output-commit boundaries semantically justified?	Retain the predicate-vector boundary because it separates the three revisable obligations.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Step-boundary review with an alternative segmentation	Checkpoint implementation
F_MUTATION	MUTATION_SEMANTICS	NL2Op/T0114_filter_muti	stale_channel_threshold_revision	May a newly authored single-channel threshold revision define the persistent and recovered pair?	Treat the revision as new benchmark content, keep all other rules fixed, and verify that the change is observable.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Approved turn wording, active-atom lineage, and one-variable adjudication	Variant generation
A_REQUIREMENTS	REQUIREMENT_INTERPRETATION	NL2Op/T0074_wide_table_construction	A_C1_WINDOW|A_C2_USER_GRAIN|A_C3_ORDER_COUNT|A_C4_ORDER_GMV|A_C5_CLICK_COUNT|A_C6_LEFT_JOIN|A_C7_ZERO_FILL|A_C8_STRING_REPRESENTATION	Do the eight paraphrased atoms faithfully represent the bilingual source task?	Approve after freezing extra-column, duplicate-user, parse-failure, and amount-coercion policies.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Clause-by-clause bilingual review record	Gold contract finalization
A_ORACLES	PROPERTY_ORACLE	NL2Op/T0074_wide_table_construction	A_O1_WINDOW|A_O2_USER_GRAIN|A_O3_AGGREGATES|A_O4_SCHEMA_AND_FILL	Do the window, user-grain, aggregate, and fill oracles independently determine correctness?	Retain all four and keep reference-row diagnostics hidden.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Independent replay on boundary, orphan, zero-behavior, and duplicate-user cases	Oracle implementation
A_CHECKPOINTS	CHECKPOINT_BOUNDARIES	NL2Op/T0074_wide_table_construction	A_K1_WINDOWED_EVENTS|A_K2_USER_AGGREGATES|A_K3_JOINED_FEATURES	Are windowed-event, user-aggregate, and joined-feature boundaries semantically justified?	Retain all three because each commits a distinct obligation family.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Step-boundary review with an alternative segmentation	Checkpoint implementation
A_MUTATION	MUTATION_SEMANTICS	NL2Op/T0074_wide_table_construction	orders_count_basis_substitution	Does counting distinct eligible order dates instead of eligible order rows change exactly one aggregation definition?	Approve only if window, user grain, GMV, click count, join, fill, and schema stay fixed.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	One-variable diff, observability check, and matched recovered workflow	Variant generation
D_REQUIREMENTS	REQUIREMENT_INTERPRETATION	NL2Op/T0011_incremental_deduplication	D_C1_UNIFIED_POOL|D_C2_PRIMARY_KEY|D_C3_LEXICOGRAPHIC_LATEST|D_C4_FIELD_PRESERVATION|D_C5_TIMESTAMP_FORMAT|D_C6_ASCENDING_ID|D_C7_JSONL_OUTPUT	Do the seven paraphrased atoms faithfully represent the bilingual source task?	Approve after freezing equal-maximum ties, identifier ordering, and JSONL-only output.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Clause-by-clause bilingual review record	Gold contract finalization
D_ORACLES	PROPERTY_ORACLE	NL2Op/T0011_incremental_deduplication	D_O1_LATEST_RECORD|D_O2_ID_COVERAGE|D_O3_FIELD_PRESERVATION|D_O4_ORDER_AND_FORMAT	Do the latest-record, identifier, field, and order oracles independently determine correctness?	Retain all four and abstain on divergent equal-maximum ties until policy exists.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Independent replay on new, updated, duplicate, outdated, tied, and out-of-order cases	Oracle implementation
D_CHECKPOINTS	CHECKPOINT_BOUNDARIES	NL2Op/T0011_incremental_deduplication	D_K1_RECORD_POOL|D_K2_WINNERS|D_K3_OUTPUT_COMMIT	Are record-pool, winner-selection, and output-commit boundaries semantically justified?	Retain the winner checkpoint because later sorting must not obscure selection errors.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Step-boundary review with an alternative segmentation	Checkpoint implementation
D_MUTATION	MUTATION_SEMANTICS	NL2Op/T0011_incremental_deduplication	physical_last_instead_of_latest	Does selecting the physically last record instead of the lexical-maximum record change one semantic variable?	Approve only when parsing, grouping, field copying, final ordering, serialization, and tie handling remain fixed.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	One-variable diff, observability check, and matched recovered workflow	Variant generation
U_REQUIREMENTS	REQUIREMENT_INTERPRETATION	NL2Op/T0047_multi_csv_union	U_C1_FIRST_HEADER|U_C2_FILE_ORDER|U_C3_WITHIN_FILE_ORDER|U_C4_DUPLICATE_RETENTION|U_C5_FIELD_PRESERVATION|U_C6_EMPTY_SEGMENTS|U_C7_CSV_OUTPUT	Should these seven clauses define output preservation only, rather than input immutability?	Keep on HOLD; the upstream text does not ground an input-overwrite violation.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Bilingual clause review and decision on the fourth pilot family	Gold contract finalization
U_ORACLES	PROPERTY_ORACLE	NL2Op/T0047_multi_csv_union	U_O1_HEADER|U_O2_ROW_SEQUENCE|U_O3_FIELD_VALUES|U_O4_EMPTY_SEGMENTS	Do the header, row-sequence, field, and empty-segment oracles independently determine output correctness?	Approve only after resolving the packaged blank-record and generator drift.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Independent replay on empty, header-only, duplicate, NA, and reordered cases	Oracle implementation
U_CHECKPOINTS	CHECKPOINT_BOUNDARIES	NL2Op/T0047_multi_csv_union	U_K1_INPUT_INVENTORY|U_K2_ROW_STREAMS|U_K3_OUTPUT_COMMIT	Are input-inventory, row-stream, and output-commit boundaries semantically justified?	Retain as output-preservation checkpoints; keep input digesting as a non-task safety control.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Step-boundary review plus package-contract resolution	Checkpoint implementation
U_MUTATION	MUTATION_SEMANTICS	NL2Op/T0047_multi_csv_union	unintended_output_deduplication	Should unintended deduplication be added to the mutation grammar or should this task be replaced?	Prefer an explicit pivot decision; do not relabel input overwrite as an upstream violation.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Approved grammar amendment or replacement-task evidence	Variant generation
G_STAGE0_DECISION	STAGE0_GO_PIVOT_STOP	GLOBAL	STAGE0_GATE	Do the approved rights, four task roles, oracles, and boundaries support Stage 0?	PIVOT_BEFORE_STAGE0 until every preceding approval is resolved and four tasks qualify.	PENDING	UNDECIDED	HUMAN_PM_OR_MENTOR	UNSET	UNSET	UNSET	UNSET	Signed approval queue and recorded GO, PIVOT, or STOP rationale	Any Stage 0 implementation or run
