source_commit	split_or_mode	task_id	task_path	eval_path	ast_parse_status	requirement_id	requirement_source	requirement_text	requirement_type	eval_py_checks	coverage	static_signal	check_mechanism	known_false_positive_risk	known_false_negative_risk	independent_oracle_possible	checkpoint_feasible	pilot_eligible	execution_trace_check	intermediate_state_check	reviewer	notes
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py	OK	DRAFT_C001	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	filter|output_format_encoding	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:5|format|open || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:7|format|entries.append || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:7|format|json.loads || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|expected_entries || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:17|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:18|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:19|row_count|gold_total || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:19|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:21|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:22|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:23|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:39|file_presence|FileNotFoundError || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:45|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|file_presence|format|row_content|row_count	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|file_presence|format|row_content|row_count|schema. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py	OK	DRAFT_C002	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	filter	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|expected_entries || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:17|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:18|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:19|row_count|gold_total || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:19|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:21|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:22|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:23|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:45|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|row_content|row_count	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|row_content|row_count. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py	OK	DRAFT_C003	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	filter	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|expected_entries || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:17|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:18|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:19|row_count|gold_total || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:19|row_count|len || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:21|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:22|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:23|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:45|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|row_content|row_count	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|row_content|row_count. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py	OK	DRAFT_C004	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	other	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|expected_entries || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:21|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:22|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:23|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:45|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|row_content	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|row_content|task_predicate. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py	OK	DRAFT_C005	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	other	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|expected_entries || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:14|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|set || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:15|row_content|strip || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:21|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:22|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:23|exact_value|compare || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:45|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|row_content	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|row_content|task_predicate. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py	OK	DRAFT_C006	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	output_format_encoding	data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:5|format|open || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:7|format|entries.append || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:7|format|json.loads || data/benchmarks/NL2Dag/T0001_dirty_words_length_filter_space_removal/eval.py:39|file_presence|FileNotFoundError	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	file_presence|format	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=file_presence|format|schema. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0002	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py	OK	DRAFT_C001	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	filter|output_format_encoding	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:24|file_presence|path.is_file || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:25|file_presence|FileNotFoundError || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:28|format|path.open || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:29|format|csv.DictReader || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:31|schema|enumerate || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:32|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:36|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:54|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|pred.items || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|sum || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:58|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:59|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:61|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:62|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:64|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:93|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|file_presence|format|row_count|schema	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|file_presence|format|row_content|row_count|schema. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0002	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py	OK	DRAFT_C002	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	filter	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:32|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:36|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:54|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|pred.items || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|sum || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:58|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:59|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:61|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:62|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:64|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:93|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|row_count	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|row_content|row_count. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0002	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py	OK	DRAFT_C003	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	filter	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:32|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:36|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:54|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|pred.items || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:56|exact_value|sum || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:58|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:59|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:61|exact_value|compare || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:62|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:64|row_count|len || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:93|exact_value|compare	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	exact_value|row_count	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=exact_value|row_content|row_count. Absence is not proof of no coverage; presence is not proof of semantic coverage.
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0002	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py	OK	DRAFT_C004	task_meta.json:target_en	[WITHHELD_PENDING_DATA_LICENSE_REVIEW]	output_format_encoding	data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:24|file_presence|path.is_file || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:25|file_presence|FileNotFoundError || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:28|format|path.open || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:29|format|csv.DictReader || data/benchmarks/NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime/eval.py:31|schema|enumerate	DRAFT_UNREVIEWED	DETECTED_POTENTIAL_SIGNAL	file_presence|format|schema	HUMAN_REVIEW_REQUIRED	HUMAN_REVIEW_REQUIRED	UNASSESSED	UNASSESSED	UNASSESSED	NOT_DETECTED_STATIC	NOT_DETECTED_STATIC	UNASSIGNED	Machine-split clause and lexical/AST signal only; expected categories=file_presence|format|schema. Absence is not proof of no coverage; presence is not proof of semantic coverage.
