axis	canonical_work_identifier	official_paper_or_artifact	official_project_or_fixed_commit	evaluated_object	domain_and_interaction	agent_visible	evaluator_visible	gold	output_labels	error_definition	evidence_and_repair	strongest_overlap_or_disconfirmation	direct_transfer_to_profilitable	blocked_claim	residual_gap	evidence_boundary	retrieved_on
1_table_spreadsheet	ProfiliTable	https://arxiv.org/abs/2605.12376v2	https://github.com/PKU-DAIR/ProfiliTable/commit/f495062699e1364978f5032bfbd7b6dac22144e9	Table-processing agent	heterogeneous tables; single task with iterative code generation	instruction; input tables; tool/runtime feedback	candidate program; processed table; task evaluator	ground-truth output and task-specific eval.py	final task score; summarizer feedback	final output mismatch, not a released first-error gold	PAPER CLAIM: task-specific non-LLM evaluator returns a scalar; summarizer inspects the processed table; repair is whole-program regeneration	The official benchmark already evaluates runnable table workflows and final semantic output	Use frozen tasks and eval.py as the outcome control; separately audit which clauses eval.py actually covers	first heterogeneous-table agent benchmark; first deterministic table-output evaluation	No versioned intent, gold source/propagation/recovery labels, or released executable witness contract was found	CODE OBSERVATION: the frozen local baseline f023ec4 and paper-linked current runtime directories were compared; dataset/evaluator coverage remains DATA_INSUFFICIENT until Phase 2	2026-08-26
1_table_spreadsheet	DataGovBench	https://arxiv.org/abs/2512.04416v2	https://anonymous.4open.science/r/GovBench-F6C6/	Planner/executor/evaluator framework	data-governance operations and DAG workflows	request; data; generated or supplied contracts	plan; executor outputs; contracts	final task/evaluator result and generated contracts	operation/DAG success	Contract-guided execution; no gold evolving-intent or first-error annotation	Contract-guided planning and execution; no localized source/recovery repair protocol	Contract planning and evaluation are already applied to data workflows	Use as a contract-execution comparator, not as evidence that generated contracts are gold	first contract-driven data-governance agent benchmark	Evolving revisions, table-state witnesses, and source/recovery labels remain absent	PAPER CLAIM: 150 tasks are reported; CODE STATUS: public artifact is an anonymous snapshot without a stable Git commit; do not conflate with arXiv:2607.06482, which also uses DataGovBench	2026-08-26
1_table_spreadsheet	CITBench	https://arxiv.org/abs/2608.00018v1	https://github.com/SSndot/CITBench/commit/07d7d0d24b2f2504ff481dc47640b5d290af6832	Interactive table agent	table tasks; five-to-eight-turn evolving interaction	current dialogue; workbook/task artifacts	conversation; execution; final table/reference	final table and reference artifacts	final answer/task success across intent-change types	Final semantic failure; no released gold source step	PAPER CLAIM: 1,296 cases across four categories and 18 change types; no explicit intermediate-table cache across turns	Interactive table intent changes and final-state evaluation are already covered	Reuse its change-event vocabulary and final-task protocol; add hidden capability probes only after direct audit	first evolving-intent table benchmark	No source/propagation/recovery or row/cell witness labels	PAPER CLAIM and CODE OBSERVATION at fixed commit; naming remnants from RITBench require care	2026-08-26
1_table_spreadsheet	SpreadsheetBench	https://arxiv.org/abs/2406.14991v2	https://github.com/RUCKBReasoning/SpreadsheetBench/commit/49b73a94775fb489063f60ca1865e3a650079a79	Spreadsheet manipulation system	spreadsheet tasks with execution feedback	instruction; workbook; execution feedback	candidate workbook/code; gold targets	gold workbooks and target regions	final cell/workbook accuracy	Final mismatch; no process-error gold	Up to five feedback rounds; no localized gold repair track	Realistic spreadsheet evaluation and iterative feedback already exist	Use task realism and final-workbook scoring as domain controls	first realistic spreadsheet manipulation benchmark	No evolving intent, persistent-error lifecycle, or executable source witness	PAPER CLAIM plus official fixed code; process labels are not established	2026-08-26
1_table_spreadsheet	SpreadsheetBench 2	https://arxiv.org/abs/2606.29955v1	https://github.com/RUCKBReasoning/SpreadsheetBench-2/commit/5c160265aa93c15b38e4034cbf1e09ab498335d9	Spreadsheet generation and debugging agent	spreadsheet tasks including debugging	instruction; erroneous workbook; tools	localized edits; workbook; rubric	gold workbook and target cells	modification/full accuracy; chart rubric	Injected spreadsheet error to localize and fix	PAPER CLAIM: 321 tasks, including 100 debugging cases over ten error types	Spreadsheet debugging and localization are already directly evaluated	Use its debugging track as the closest domain comparator for localization and repair	first spreadsheet debugging or localization benchmark	No gold earliest persistent source, evolving-intent clause, or replayed row/statistic witness	PAPER CLAIM plus official fixed code; trajectory taxonomy is not equivalent to source-step gold	2026-08-26
1_and_3	DataSpace	https://arxiv.org/abs/2608.03451v1	https://github.com/HKUSTDial/DataSpace/commit/6491caa4c70cc06cacb6103ba73cefb00746abfe	Data agent and retrospective failure auditor	heterogeneous analytic workspaces; single-turn task	question; workspace; tools	execution trace; workspace; submitted and reference results; evaluator config; verified solution	complete result table and verified solution	final score; one primary cause stage/subtype	Earliest observable divergence conflicting with the verified solution, uncorrected, and outcome-determining; recovered exploratory errors excluded; no executed repair	Trace event and workspace evidence with a counterfactual correction; no executed localized repair	Directly covers persistent first-cause process audit for data agents	Run final evaluator as outcome control; treat reference-rich audit as oracle upper bound; create a reference-hidden adaptation	first data-agent process root-cause audit; first persistent-divergence annotation	Evolving intent and table-specific source/propagation/recovery plus executable witness are not jointly covered	PAPER CLAIM: 410 tasks and 136 audited failures; DATA_INSUFFICIENT: per-case audit labels are not confirmed as released	2026-08-26
1_table_spreadsheet	BIRD-INTERACT	https://arxiv.org/abs/2510.05318v3	https://github.com/bird-bench/BIRD-Interact/commit/451fe2c3518ee1cf908d8139e2913483bd519381	Interactive text-to-SQL/data agent	dynamic SQL interactions over mutable databases	conversation; schema/database; tools	SQL/actions; database state; final result	gold SQL/tests and database outcome	interaction/task success	Final or interaction failure; no released source-step witness	Mutable database execution and interactive corrections; repair via later actions	Interactive database state and evolving requests are already benchmarked	Use as an external-domain interaction/control benchmark	first dynamic data-agent interaction benchmark	No active intent graph aligned to source/propagation/recovery and executable table witness	PAPER CLAIM: FULL600/LITE300; CODE OBSERVATION: repository count language appears to differ, so exact inventory is DATA_INSUFFICIENT pending reconciliation	2026-08-26
1_table_spreadsheet	SheetMind	https://arxiv.org/abs/2506.12339v2	DATA_INSUFFICIENT_no_author_official_code_found	Spreadsheet agent with Manager/Action/Reflection	spreadsheet manipulation with retries	task; workbook; prior feedback	before/after spreadsheet state and subtask result	benchmark final outcome	reflection decision and final task success	Reflection judges subtask completion from before/after state	Before/after state reflection with retry; no independently labeled localized repair	State-grounded spreadsheet self-monitoring already exists at the method level	Use as a conceptual state-visible self-reflection baseline	first state-grounded spreadsheet self-monitoring or reflection	No evolving intent, first/source/recovery gold, or verified minimal patch	PAPER CLAIM only; code and reproducible release remain DATA_INSUFFICIENT	2026-08-26
2_evolving_intent	UserIntentBench	DATA_INSUFFICIENT_no_formal_paper_found	https://github.com/jingmingjackchen/UserIntentBench/commit/d294828e0b1b0827c50d3feeebeb338b34459620	Intent-tracking agent/general assistant	multi-turn latent and changing intent	partial user-facing projection of hidden intent	conversation and predicted belief	artifact-defined hidden intent graph	outcome and intent-tracking labels	Stale, missing, or conflicting active requirement	Belief snapshots and hidden-intent graph; no executed table repair	Intent graph and belief-state evaluation without executed table state	Reuse versioned clause graph and intent-event vocabulary; keep table execution as a separate construct	first hidden or changing user-intent benchmark	No executed table checkpoints, source error, witness, or repair	CODE OBSERVATION at fixed commit; claims requiring a peer-reviewed paper are DATA_INSUFFICIENT	2026-08-26
2_evolving_intent	LLMs Get Lost in Evolving User Intent	https://arxiv.org/abs/2607.20734v1	https://github.com/microsoft/evolving-intent/commit/993d6be9597ac03854b46362ccd647eb1bfd267a	Multi-turn task agent	four domains with reveal, revision, and function switch	conversation and native task environment	predictions/actions and native verifier	structured per-turn intent and native final verifier	intent tracking and task success	Failure to update to current intent	Per-turn structured intent with native final verification; no source-localized repair	Structured intent evolution with final domain verifier	Reuse reveal/revision/retraction semantics and no-state intent baseline	first evolving-user-intent benchmark	No table checkpoints, source/propagation/recovery, or executable witness	PAPER CLAIM plus official fixed code	2026-08-26
